x1,y1,z1,x2,y2,z2
6.558,-5.257,57.270,5.515,-5.473,57.266
5.662,-5.277,55.727,4.579,-5.508,55.619
5.087,-5.046,53.146,3.939,-5.180,53.064
0.452,-5.098,54.992,-0.759,-5.350,54.992
-2.972,-5.484,60.951,-4.068,-5.738,60.806
0.479,-4.989,56.033,-0.612,-5.172,55.929
5.123,-5.077,55.920,4.055,-5.261,55.743
2.635,-5.328,58.754,1.546,-5.578,58.657
3.238,-5.144,57.012,2.188,-5.429,56.944
6.527,-5.090,55.293,5.414,-5.182,55.149
4.963,-5.253,58.207,3.848,-5.458,58.173
-1.558,-5.448,62.249,-2.698,-5.673,62.167
0.422,-4.909,57.167,-0.664,-5.109,57.038
4.309,-4.926,56.594,3.243,-5.189,56.494
-1.992,-5.100,60.042,-3.082,-5.338,59.907
-2.139,-4.883,58.081,-3.248,-5.130,57.952
4.039,-5.051,57.541,2.924,-5.320,57.502
1.467,-5.277,61.893,0.391,-5.517,61.801
-1.180,-5.066,62.981,-2.324,-5.298,62.979
-2.113,-5.052,60.575,-3.225,-5.256,60.489
-2.378,-4.632,60.021,-3.492,-4.857,59.940
-0.185,-5.097,60.074,-1.210,-5.396,59.867
2.745,-5.223,60.698,1.709,-5.465,60.712
3.272,-4.665,57.979,2.191,-4.877,57.845
2.639,-4.729,56.441,1.566,-4.988,56.354
3.515,-4.563,54.025,2.383,-4.800,54.020
4.607,-4.645,54.972,3.564,-4.859,54.862
-0.612,-4.858,59.185,-1.710,-5.069,59.114
-3.566,-4.840,60.921,-4.663,-5.020,60.790
0.004,-4.606,57.080,-1.095,-4.866,56.944
0.355,-4.523,56.355,-0.803,-4.752,56.229
5.971,-4.542,56.085,4.869,-4.756,55.968
0.612,-4.701,61.101,-0.473,-4.920,61.058
-0.796,-4.436,57.407,-1.885,-4.622,57.285
7.444,-4.453,56.191,6.392,-4.686,56.061
-1.455,-4.560,59.741,-2.554,-4.825,59.656
1.795,-4.373,56.621,0.754,-4.565,56.452
-1.871,-4.450,59.475,-2.977,-4.706,59.389
0.781,-4.696,62.278,-0.391,-4.944,62.320
